Does Plant A pair well with Plant B?,ANISE HYSSOP,BIG BLUESTEM GRASS,BLUE WILD INDIGO,BOTTLE GENTIAN,BUTTERFLY WEED,BUTTON BLAZING STAR,CARDINAL FLOWER,COLUMBINE,COMMON BLUE VIOLET,COMMON MILKWEED,CULVERS ROOT,GARDEN PHLOX,GREAT BLUE LOBELIA,HAIRY BEARDTONGUE,JACK-IN-THE-PULPIT,JACOB'S LADDER,JOE PYE WEED,LEAD PLANT,LITTLE BLUESTEM GRASS,MICHIGAN LILY,MIDLAND SHOOTING STAR,MONKEY FLOWER,OBEDIENT PLANT,ORANGE CONEFLOWER,PRAIRIE BLAZING STAR,PRAIRIE SMOKE,PURPLE CONEFLOWER,PURPLE PRAIRIE CLOVER,RED/ROSE MILKWEED,RIDDELL'S GOLDENROD,ROSE MALLOW,ROYAL CATCHFLY,SILKY ASTER,SKY BLUE ASTER,SMOOTH ASTER,SMOOTH/MARSH PHLOX,SOLOMON'S PLUME,SWAMP ROSE MALLOW,SWEET BLACK EYED SUSAN,SWEET JOE PYE-WEED,TALL THIMBLEWEED,TRILLIUM,TURTLEHEAD,VIRGINIA BLUEBELL,WILD BERGAMOT,WILD BLUE PHLOX,WILD GERANIUM,WILD LUPINE
ANISE HYSSOP,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
BIG BLUESTEM GRASS,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE WILD INDIGO,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
BOTTLE GENTIAN,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,x,,,,,
BUTTERFLY WEED,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
BUTTON BLAZING STAR,,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
CARDINAL FLOWER,,,,,,,x,,,,,,x,,,,,,,x,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,
COLUMBINE,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,x,,x,x,
COMMON BLUE VIOLET,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMON MILKWEED,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,
CULVERS ROOT,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,,,,,,,,x,,,
GARDEN PHLOX,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,
GREAT BLUE LOBELIA,,,,,,,x,,,,,,x,,,,,,,x,,x,x,,,,,,,,x,,,,,,,x,,,,,x,,,,,
HAIRY BEARDTONGUE,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACK-IN-THE-PULPIT,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,x,,x,x,
JACOB'S LADDER,,,,,,,,x,,,,,,,x,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,x,,x,x,
JOE PYE WEED,,,,,,,,,,,,,,,,,x,,,,,x,x,,,,,,x,,x,,,,,,,x,,x,,,,,,,,
LEAD PLANT,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,x
LITTLE BLUESTEM GRASS,,x,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
MICHIGAN LILY,,,,,,,x,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
MIDLAND SHOOTING STAR,,,,,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,x,,,,
MONKEY FLOWER,,,,x,,,,,,,,,x,,,,x,,,,,x,x,,x,,x,,x,,,,,,x,,,,x,,,,,,,,,
OBEDIENT PLANT,,,,x,,,x,,,,,,x,,,,x,,,x,,x,x,,,,,,,,x,,,,,,,x,,,,,x,,,,,
ORANGE CONEFLOWER,,,,,,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,
PRAIRIE BLAZING STAR,,,,,,x,,,,,x,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,x,,,,,,,,,,
PRAIRIE SMOKE,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
PURPLE CONEFLOWER,,,,,,,,,,,x,,,,,,,,,,,x,,,,,x,,,,x,,,,,,,x,,,,,,,x,,,
PURPLE PRAIRIE CLOVER,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
RED/ROSE MILKWEED,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,
RIDDELL'S GOLDENROD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
ROSE MALLOW,,,,x,,,,,,,,,x,,,,x,,,,,,x,,x,,x,,x,,x,,,,,,,x,x,,,,,,,,,
ROYAL CATCHFLY,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,
SILKY ASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,,,,,
SKY BLUE ASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,
SMOOTH ASTER,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,
SMOOTH/MARSH PHLOX,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,
SOLOMON'S PLUME,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,x,,x,,x,x,
SWAMP ROSE MALLOW,,,,,,,,,,,,,x,,,,x,,,,,,x,,x,,x,,x,,x,,,,,,,x,x,,,,,,,,,
SWEET BLACK EYED SUSAN,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x,x,,,,,,x,,,
SWEET JOE PYE-WEED,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
TALL THIMBLEWEED,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,
TRILLIUM,,,,,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,x,,x,,x,x,
TURTLEHEAD,,,,x,,,x,,,,,,x,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,
VIRGINIA BLUEBELL,,,,,,,,x,,,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,x,,x,,x,x,
WILD BERGAMOT,x,,x,,,,,,,x,x,,,,,,,,,,,,,,,,x,x,,,,,,,x,,,,x,,,,,,x,,,
WILD BLUE PHLOX,,,,,,,,x,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,x,x,,,,,x,,x,,x,x,
WILD GERANIUM,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,x,,,,x,x,,x,,x,x,
WILD LUPINE,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x